,Country,Sex,Age,SuicidePer100k,HDIScore,EmploymentToPopulationRatio,GDP,GDPPerCapita,GiniIndex,LogGDPPerCapita,LogGDP,SexIndex,AgeIndex,rawFeatures,indexedFeatures,prediction
0,Albania,0,5,0.2667377967457989,0.667,51.42200089,6933706092.0,2244.624632,38.62148387096775,7.716293584414841,22.659660296809612,1.0,1.0,"[0.667,51.42200089,7.716293584414841,22.659660296809612,38.62148387096775,1.0,1.0]","[0.667,51.42200089,7.716293584414841,22.659660296809612,38.62148387096775,1.0,1.0]",1.0906504772059986
1,Albania,0,5,0.2689618074233459,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628,1.0,1.0,"[0.617,52.86999893,7.309069050202705,22.29008264910628,38.62148387096775,1.0,1.0]","[0.617,52.86999893,7.309069050202705,22.29008264910628,38.62148387096775,1.0,1.0]",0.6714031682752689
2,Albania,0,5,0.31301549739727613,0.68,50.45500183,7849398817.0,2572.721432,31.7,7.852719540583031,22.78370278198638,1.0,1.0,"[0.68,50.45500183,7.852719540583031,22.78370278198638,31.7,1.0,1.0]","[0.68,50.45500183,7.852719540583031,22.78370278198638,31.7,1.0,1.0]",-0.9884869779412817
3,Albania,0,5,0.3309274904775615,0.692,48.77500153,8739893897.0,2887.370342,38.62148387096775,7.9681014506184065,22.891163886608815,1.0,1.0,"[0.692,48.77500153,7.9681014506184065,22.891163886608815,38.62148387096775,1.0,1.0]","[0.692,48.77500153,7.9681014506184065,22.891163886608815,38.62148387096775,1.0,1.0]",1.0906504772059986
4,Albania,0,5,0.5149330587023686,0.649,52.07099915,5742875712.0,1835.646681,38.62148387096775,7.515152113119087,22.47122591694368,1.0,1.0,"[0.649,52.07099915,7.515152113119087,22.47122591694368,38.62148387096775,1.0,1.0]","[0.649,52.07099915,7.515152113119087,22.47122591694368,38.62148387096775,1.0,1.0]",1.7119565345867203
5,Albania,0,5,1.4679060686906644,0.718,46.88000107,10351466806.0,3485.322409,38.62148387096775,8.156315832258427,23.06039406700288,1.0,1.0,"[0.718,46.88000107,8.156315832258427,23.06039406700288,38.62148387096775,1.0,1.0]","[0.718,46.88000107,8.156315832258427,23.06039406700288,38.62148387096775,1.0,1.0]",0.7480798469569074
6,Albania,0,5,1.593625498007968,0.629,52.02399826,5429694612.0,1703.281845,38.62148387096775,7.440312166088421,22.4151487284267,1.0,1.0,"[0.629,52.02399826,7.440312166088421,22.4151487284267,38.62148387096775,1.0,1.0]","[0.629,52.02399826,7.440312166088421,22.4151487284267,38.62148387096775,1.0,1.0]",1.7119565345867203
7,Albania,0,15,0.0,0.709,47.41799927,9767379280.0,3263.901713,38.62148387096775,8.090678603191884,23.00231402546212,1.0,2.0,"[0.709,47.41799927,8.090678603191884,23.00231402546212,38.62148387096775,1.0,2.0]","[0.709,47.41799927,8.090678603191884,23.00231402546212,38.62148387096775,1.0,2.0]",8.531064305497456
8,Albania,0,15,2.0833333333333335,0.667,51.42200089,6933706092.0,2244.624632,38.62148387096775,7.716293584414841,22.659660296809612,1.0,2.0,"[0.667,51.42200089,7.716293584414841,22.659660296809612,38.62148387096775,1.0,2.0]","[0.667,51.42200089,7.716293584414841,22.659660296809612,38.62148387096775,1.0,2.0]",9.849250362811702
9,Albania,0,15,2.477291494632535,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628,1.0,2.0,"[0.617,52.86999893,7.309069050202705,22.29008264910628,38.62148387096775,1.0,2.0]","[0.617,52.86999893,7.309069050202705,22.29008264910628,38.62148387096775,1.0,2.0]",7.233533853190074
10,Albania,0,15,3.4129692832764507,0.608,54.30599976,4038036613.0,1243.605824,38.62148387096775,7.1257703613515035,22.11902442390838,1.0,2.0,"[0.608,54.30599976,7.1257703613515035,22.11902442390838,38.62148387096775,1.0,2.0]","[0.608,54.30599976,7.1257703613515035,22.11902442390838,38.62148387096775,1.0,2.0]",8.670554254388172
11,Albania,0,15,4.560530679933665,0.629,52.02399826,5429694612.0,1703.281845,38.62148387096775,7.440312166088421,22.4151487284267,1.0,2.0,"[0.629,52.02399826,7.440312166088421,22.4151487284267,38.62148387096775,1.0,2.0]","[0.629,52.02399826,7.440312166088421,22.4151487284267,38.62148387096775,1.0,2.0]",10.470556420192423
12,Albania,0,15,6.625564916587625,0.692,48.77500153,8739893897.0,2887.370342,38.62148387096775,7.9681014506184065,22.891163886608815,1.0,2.0,"[0.692,48.77500153,7.9681014506184065,22.891163886608815,38.62148387096775,1.0,2.0]","[0.692,48.77500153,7.9681014506184065,22.891163886608815,38.62148387096775,1.0,2.0]",7.785887607827795
13,Albania,0,15,7.398273736128237,0.611,53.53699875,4424049157.0,1370.826071,38.62148387096775,7.223168808640724,22.210321212542325,1.0,2.0,"[0.611,53.53699875,7.223168808640724,22.210321212542325,38.62148387096775,1.0,2.0]","[0.611,53.53699875,7.223168808640724,22.210321212542325,38.62148387096775,1.0,2.0]",7.233533853190074
14,Albania,0,15,10.85209003215434,0.649,52.07099915,5742875712.0,1835.646681,38.62148387096775,7.515152113119087,22.47122591694368,1.0,2.0,"[0.649,52.07099915,7.515152113119087,22.47122591694368,38.62148387096775,1.0,2.0]","[0.649,52.07099915,7.515152113119087,22.47122591694368,38.62148387096775,1.0,2.0]",10.470556420192423
15,Albania,0,25,2.592912705272256,0.617,52.86999893,4791372056.0,1493.785902,38.62148387096775,7.309069050202705,22.29008264910628,1.0,3.0,"[0.617,52.86999893,7.309069050202705,22.29008264910628,38.62148387096775,1.0,3.0]","[0.617,52.86999893,7.309069050202705,22.29008264910628,38.62148387096775,1.0,3.0]",7.782796598268681
16,Albania,0,25,4.380990395895498,0.687,49.5870018,8283474557.0,2725.171389,38.62148387096775,7.9102866001654055,22.837528349810412,1.0,3.0,"[0.687,49.5870018,7.9102866001654055,22.837528349810412,38.62148387096775,1.0,3.0]","[0.687,49.5870018,7.9102866001654055,22.837528349810412,38.62148387096775,1.0,3.0]",11.104815439811919
17,Albania,0,25,7.841518778373916,0.66,51.62900162,6483126461.0,2085.425997,38.62148387096775,7.642728428471326,22.592468709504626,1.0,3.0,"[0.66,51.62900162,7.642728428471326,22.592468709504626,38.62148387096775,1.0,3.0]","[0.66,51.62900162,7.642728428471326,22.592468709504626,38.62148387096775,1.0,3.0]",11.104815439811919
18,Albania,0,25,15.254237288135592,0.639,52.29000092,5276919125.0,1676.127107,38.62148387096775,7.424241117665166,22.38660826530973,1.0,3.0,"[0.639,52.29000092,7.424241117665166,22.38660826530973,38.62148387096775,1.0,3.0]","[0.639,52.29000092,7.424241117665166,22.38660826530973,38.62148387096775,1.0,3.0]",11.72612149719264
19,Albania,0,35,0.0,0.702,47.9980011,9223202584.0,3062.673883,30.6,8.027043631363615,22.944988166046045,1.0,5.0,"[0.702,47.9980011,8.027043631363615,22.944988166046045,30.6,1.0,5.0]","[0.702,47.9980011,8.027043631363615,22.944988166046045,30.6,1.0,5.0]",9.02567798466464
20,Albania,0,35,3.7243947858473,0.629,52.02399826,5429694612.0,1703.281845,38.62148387096775,7.440312166088421,22.4151487284267,1.0,5.0,"[0.629,52.02399826,7.440312166088421,22.4151487284267,38.62148387096775,1.0,5.0]","[0.629,52.02399826,7.440312166088421,22.4151487284267,38.62148387096775,1.0,5.0]",11.72612149719264
21,Albania,0,35,7.926361544362056,0.66,51.62900162,6483126461.0,2085.425997,38.62148387096775,7.642728428471326,22.592468709504626,1.0,5.0,"[0.66,51.62900162,7.642728428471326,22.592468709504626,38.62148387096775,1.0,5.0]","[0.66,51.62900162,7.642728428471326,22.592468709504626,38.62148387096775,1.0,5.0]",11.104815439811919
22,Albania,0,35,9.158970950360994,0.68,50.45500183,7849398817.0,2572.721432,31.7,7.852719540583031,22.78370278198638,1.0,5.0,"[0.68,50.45500183,7.852719540583031,22.78370278198638,31.7,1.0,5.0]","[0.68,50.45500183,7.852719540583031,22.78370278198638,31.7,1.0,5.0]",9.02567798466464
23,Albania,0,55,0.0,0.702,47.9980011,9223202584.0,3062.673883,30.6,8.027043631363615,22.944988166046045,1.0,4.0,"[0.702,47.9980011,8.027043631363615,22.944988166046045,30.6,1.0,4.0]","[0.702,47.9980011,8.027043631363615,22.944988166046045,30.6,1.0,4.0]",9.02567798466464
24,Albania,0,55,5.056179775280899,0.629,52.02399826,5429694612.0,1703.281845,38.62148387096775,7.440312166088421,22.4151487284267,1.0,4.0,"[0.629,52.02399826,7.440312166088421,22.4151487284267,38.62148387096775,1.0,4.0]","[0.629,52.02399826,7.440312166088421,22.4151487284267,38.62148387096775,1.0,4.0]",11.72612149719264
25,Albania,0,55,5.59312554024508,0.673,50.92599869,7508515183.0,2453.624414,38.62148387096775,7.8053215630276815,22.739303571190842,1.0,4.0,"[0.673,50.92599869,7.8053215630276815,22.739303571190842,38.62148387096775,1.0,4.0]","[0.673,50.92599869,7.8053215630276815,22.739303571190842,38.62148387096775,1.0,4.0]",11.104815439811919
26,Albania,0,55,6.245538900785154,0.718,46.88000107,10351466806.0,3485.322409,38.62148387096775,8.156315832258427,23.06039406700288,1.0,4.0,"[0.718,46.88000107,8.156315832258427,23.06039406700288,38.62148387096775,1.0,4.0]","[0.718,46.88000107,8.156315832258427,23.06039406700288,38.62148387096775,1.0,4.0]",10.138112913422162
27,Albania,0,55,7.559395248380129,0.66,51.62900162,6483126461.0,2085.425997,38.62148387096775,7.642728428471326,22.592468709504626,1.0,4.0,"[0.66,51.62900162,7.642728428471326,22.592468709504626,38.62148387096775,1.0,4.0]","[0.66,51.62900162,7.642728428471326,22.592468709504626,38.62148387096775,1.0,4.0]",11.104815439811919
28,Albania,0,55,7.939658594680428,0.687,49.5870018,8283474557.0,2725.171389,38.62148387096775,7.9102866001654055,22.837528349810412,1.0,4.0,"[0.687,49.5870018,7.9102866001654055,22.837528349810412,38.62148387096775,1.0,4.0]","[0.687,49.5870018,7.9102866001654055,22.837528349810412,38.62148387096775,1.0,4.0]",11.104815439811919
29,Albania,0,75,0.0,0.709,47.41799927,9767379280.0,3263.901713,38.62148387096775,8.090678603191884,23.00231402546212,1.0,0.0,"[0.709,47.41799927,8.090678603191884,23.00231402546212,38.62148387096775,1.0,0.0]","[0.709,47.41799927,8.090678603191884,23.00231402546212,38.62148387096775,1.0,0.0]",30.74427820049679
30,Albania,0,75,0.0,0.729,47.06600189,11500613162.0,3928.450391,38.62148387096775,8.276000324561089,23.16566618932902,1.0,0.0,"[0.729,47.06600189,8.276000324561089,23.16566618932902,38.62148387096775,1.0,0.0]","[0.729,47.06600189,8.276000324561089,23.16566618932902,38.62148387096775,1.0,0.0]",24.819443642806366
31,Albania,0,75,3.0611932531300705,0.687,49.5870018,8283474557.0,2725.171389,38.62148387096775,7.9102866001654055,22.837528349810412,1.0,0.0,"[0.687,49.5870018,7.9102866001654055,22.837528349810412,38.62148387096775,1.0,0.0]","[0.687,49.5870018,7.9102866001654055,22.837528349810412,38.62148387096775,1.0,0.0]",30.116896388677663
32,Albania,0,75,3.2212343770132716,0.673,50.92599869,7508515183.0,2453.624414,38.62148387096775,7.8053215630276815,22.739303571190842,1.0,0.0,"[0.673,50.92599869,7.8053215630276815,22.739303571190842,38.62148387096775,1.0,0.0]","[0.673,50.92599869,7.8053215630276815,22.739303571190842,38.62148387096775,1.0,0.0]",12.378685337344507
33,Albania,0,75,4.132231404958678,0.611,53.53699875,4424049157.0,1370.826071,38.62148387096775,7.223168808640724,22.210321212542325,1.0,0.0,"[0.611,53.53699875,7.223168808640724,22.210321212542325,38.62148387096775,1.0,0.0]","[0.611,53.53699875,7.223168808640724,22.210321212542325,38.62148387096775,1.0,0.0]",9.078340891683526
